,DOI,title,author,volume,issue,issued_year,issued_month,crossref_ref_by_count,gscholar_ref_by_count,journal,file_name,cites_per_year
1352,10.1016/j.jmp.2011.01.002,['Signal detection theory with item effects'],['Lawrence T. DeCarlo'],55,3,2011,6,16.0,,jmp,2011-DeCarlo-Detection.txt,1.1
1353,10.1016/j.jmp.2010.11.004,['Evaluating models of recognition memory using first- and second-choice responses'],"['David Kellen', 'Karl Christoph Klauer']",55,3,2011,6,21.0,,jmp,2011-Kellen-Models.txt,1.4
1354,10.1016/j.jmp.2011.02.002,['An extension of SIC predictions to the Wiener coactive model'],"['Joseph W. Houpt', 'James T. Townsend']",55,3,2011,6,24.0,,jmp,2011-Houpt-Extension.txt,1.6
1355,10.1016/j.jmp.2011.03.001,['Properties of reverse hazard functions'],['Richard A. Chechile'],55,3,2011,6,39.0,,jmp,2011-Chechile-Reverse.txt,2.6
1356,10.1016/j.jmp.2011.01.001,['Two-sample models with monotonic likelihood ratios for ordinal regression'],['Frank W. Samuelson'],55,3,2011,6,3.0,,jmp,2011-Samuelson-Models.txt,0.2
1357,10.1016/j.jmp.2011.04.003,['A tutorial on computational cognitive neuroscience: Modeling the neurodynamics of cognition'],"['F. Gregory Ashby', 'Sebastien Helie']",55,4,2011,8,46.0,,jmp,2011-Gregory Ashby-Tutorial.txt,3.1
1358,10.1016/j.jmp.2011.05.001,['Performance measures for dynamic signal detection'],"['J.D. Balakrishnan', 'Justin A. MacDonald']",55,4,2011,8,6.0,,jmp,2011-Balakrishnan-Dynamic.txt,0.4
1359,10.1016/j.jmp.2011.04.001,['Macroscopic thermodynamics of reaction times'],['Fermín Moscoso del Prado Martín'],55,4,2011,8,6.0,,jmp,2011-Moscoso del Prado Martín-Thermodynamics.txt,0.4
1360,10.1016/j.jmp.2011.04.002,['Does probability weighting matter in probability elicitation?'],"['David Budescu', 'Ali Abbas', 'Lijuan Wu']",55,4,2011,8,6.0,,jmp,2011-Budescu-Probability.txt,0.4
1361,10.1016/j.jmp.2011.06.004,['Using MCMC chain outputs to efficiently estimate Bayes factors'],"['Richard D. Morey', 'Jeffrey N. Rouder', 'Michael S. Pratte', 'Paul L. Speckman']",55,5,2011,10,67.0,,jmp,2011-Morey-MCMC.txt,4.5
1362,10.1016/j.jmp.2011.06.002,['Multiplicatively interacting factors selectively influencing parameters in multiple response class processing and rate trees'],"['Richard Schweickert', 'Zhuangzhuang Xi']",55,5,2011,10,8.0,,jmp,,0.5
1363,10.1016/j.jmp.2011.05.005,['A review of multiobjective programming and its application in quantitative psychology'],['Hans-Friedrich Köhn'],55,5,2011,10,5.0,,jmp,2011-Köhn-Review.txt,0.3
1364,10.1016/j.jmp.2011.05.004,['Theory and tests of the conjoint commutativity axiom for additive conjoint measurement'],"['R. Duncan Luce', 'Ragnar Steingrimsson']",55,5,2011,10,15.0,,jmp,2011-Luce-Tests.txt,1.0
1365,10.1016/j.jmp.2011.06.001,['A tutorial on Bayes factor estimation with the product space method'],"['Tom Lodewyckx', 'Woojae Kim', 'Michael D. Lee', 'Francis Tuerlinckx', 'Peter Kuppens', 'Eric-Jan Wagenmakers']",55,5,2011,10,79.0,,jmp,2011-Lodewyckx-Tutorial.txt,5.3
1366,10.1016/j.jmp.2011.06.003,['Symmetry of receiver operating characteristic curves and Kullback–Leibler divergences between the signal and noise populations'],"['Bhaskar Bhattacharya', 'Gareth Hughes']",55,5,2011,10,6.0,,jmp,2011-Bhattacharya-Receiver.txt,0.4
